INT	STRING
221	风云际会，龙争虎斗！#Y%s#cFF0000帮会一声号令，发起了对#Y%s#cFF0000帮会的宣战，两军对垒，剑拔弩张，谁将是今日一战的霸主，让我们拭目以待！
222	当，当，当！鸣金收兵！各位帮众请暂停战斗，我帮与%s帮会今日一战甚是激烈，以致人困马乏，双方均决定重整旗鼓，择日再战！
223	%s #cff0000请注意！您的帮派正处于宣战状态，点击帮派界面的帮派宣战按钮即可查看详细信息。
224	@*;SrvMsg;GLD:本帮主力#{_INFOUSR%s}竟然被#{_INFOUSR%s}杀害，实在令人气愤！
225	@*;SrvMsg;GLD:本帮主力#{_INFOUSR%s}竟然被#G[%s]#W帮会的#{_INFOUSR%s}杀害，实在令人气愤！
226	#cff0000帮会留言：#c6699ff%s
227	你还没有结拜过，不能领取结拜称号。
228	你还没有结拜过，不能修改结拜称号。
229	#{_TIME%d}: 从%s处成功收购到材料[#R#{_ITEM%d}#W]X%d件,收购的金额为#{_MONEY%d}
230	任务栏中
231	#R恭喜您成功收购到材料#{_INFOMSG%s},请您到洛阳九州商会老板--乔复盛处[232，155]领取材料。
232	请提升除第七本心法外所有的心法到90级。
233	请提升除第七本心法外所有的心法到100级。
234	请提升除第七本心法外所有的心法到110级。
235	请提升除第七本心法外所有的心法到120级。
236	请提升除第七本心法外所有的心法到130级。
237	#{safeboxmsg1}
238	注意！#r您的保险箱处于开箱保护期状态，%d天后正式开启，#{safeboxmsg2}
239	注意！#r您的保险箱处于开箱保护期状态，%d小时%d分钟后正式开启，#{safeboxmsg3}
240	本帮商人#{_INFOUSR%s}在进行商人任务的过程中，不幸被#G[%s]#W帮会的#{_INFOUSR%s}所劫杀，银票与商品尽数丢失，好不令人懊恼。
241	本帮商人#{_INFOUSR%s}在进行商人任务的过程中，不幸被#{_INFOUSR%s}所劫杀，银票与商品尽数丢失，好不令人懊恼。
242	您正在抽奖或兑换元宝中，不能传送
243	此帮会名已经被占用，创建失败，您付出的金钱已返还给您。
244	你的等级小于%d级，不能兑换
245	职位名称修改成功
246	修改失败，距上次修改职位名称未超过24小时
247	职位名称非法
248	官员
249	新人
250	关内侯
251	亭侯
252	乡侯
253	县侯
254	郡侯
255	县公
256	郡公
257	国公
258	郡王
259	亲王
260	领取职位名称成功
261	没有可领取的职位名称
262	帮主已经修改过自订职位名称了，请各位官员带着烫金名帖到#G洛阳（200，103）#R章惇#Y处领取新的称号。
263	您的帮主已经修改了您的职位名称，请带着烫金名帖到#G洛阳（200，103）#R章惇#Y处领取新的称号。
264	#Y本城成功升级到了#R#{CityBuildingName_T%d_L%d},#Y建设任务已经结束，辛苦大家了。
265	由于您受到了死亡的巨大打击，您身上已绑定的#{_ITEM%d}装备已经损失。
266	由于您受到了死亡的巨大打击，您身上已绑定的#{_ITEM%d}装备的可修理次数降低为0点。
267	由于您受到了死亡的巨大打击，您身上已锁定的#{_ITEM%d}装备已经损失。
268	由于您受到了死亡的巨大打击，您身上已上锁的#{_ITEM%d}装备的可修理次数降低了1点。
269	由于您受到了死亡的巨大打击，您身上的#{_ITEM%d}装备已经丢失了。
270	由于您受到了死亡的巨大打击，您包裹内的#{_ITEM%d}已经丢失了。
271	由于您受到了死亡的巨大打击，您包裹内已绑定的#{_ITEM%d}已经损失。
272	由于您受到了死亡的巨大打击，您包裹内已锁定的#{_ITEM%d}已经损失。
273	城市名称非法
274	#I江湖风云突起，新建帮会%s#I在一代豪杰%s#I的带领下在武林中奇迹般崛起。
275	您的称号#Y%s#W已超过了使用期限，已被系统收回
276	你被%s玩家打败。
277	恭喜你所在的%s帮会成功占据%s领地为帮会城市。你可以在帮会城市中设定帮会建设和研究的方向。帮会资金主要通过跑商获得，目前你可以任命8名帮众为商人。
278	只有帮主可以修改帮会工作管理员
279	修改失败，资料已过期
280	修改成功
281	因任务上调
282	因任务下调
283	因任务未作调整，收益不变。
284	额外获得帮贡
285	额外获得金钱
286	从奖励中扣除帮贡
287	从奖励中扣除金钱
288	24小时内只能进行一次帮会任务管理。
289	没有该帮会
290	该帮会不是该同盟成员
291	开除同盟成功
292	只有盟主可以开除同盟
293	不能开除盟主帮会
294	摆摊状态不能传送
295	#{_INFOUSR%s}购买 #{_INFOMSG%s} X %d, 共花费%d元宝
296	此物品是元宝交易物品
297	元宝摊位
298	您正变换成战车状态，无法传送
299	变羊状态下无法传送
300	#P风云际会，龙争虎斗！#H%s#P帮会一声号令，发起了对#H%s#P帮会的宣战，#H%s#P帮会是否有胆量接战？两军对垒，谁将是今日一战的霸主？让我们拭目以待!
301	#I我帮急报！#H%s#I帮会不知天高地厚，竟然公然挑衅，向我帮宣战，请帮主速速集合人马，长我军志气，壮我帮声威，向#H%s#I帮会还以颜色！
302	#H%s#P帮会接受了#H%s#P帮会的宣战，战斗的号角已经吹响！谁能主宰瞬息万变的战局，谁能成为力挽狂澜的英雄？战士们，去涿鹿古战场争夺你们的荣耀吧！
303	#H%s#P帮会屈服于#H%s#P帮会强大的实力和冲天的斗志，不敢应战，一场战斗弭于无形。天下之大，难道没有一个帮会是#H%s#P帮会的对手吗？
304	#I本帮和#H%s#I帮会的战争，箭在弦上，一触即发！扬我帮声威，就在今天，众位英雄豪杰披挂上阵啊！从洛阳周然（265,50）处可以进入战场。
305	#P刚刚结束的一场战斗中，#H%s#P帮会众志成城，齐心协力，将#H%s#P帮会打得落花流水，满地找牙，可谓取得了一场酣畅淋漓的大胜。归来的英雄们齐聚洛阳广场，为他们欢呼吧！
306	#P刚刚结束的一场战斗中，#H%s#P帮会技不如人，不敌#H%s#P帮会，自觉无颜再见江东父老，改头换面，灰头土脸的躲在洛阳西门。真是墙倒众人推啊！
307	您已经退出帮会，您的称号#Y%s#W已经失效。
308	您所在帮会没有拥有洛阳城归属权，您的称号#Y%s#W已经失效。
309	#{_INFOUSR%s}购买 珍兽#{_INFOMSG%s}, 共花费%d元宝
